Trade #,Balance,Profit,Risk %,Lot Size
56,$89.15,$1.78,1.00%,0.01
57,$90.93,$1.82,1.00%,0.01
58,$92.75,$1.86,1.00%,0.01
59,$94.61,$1.89,1.00%,0.01
60,$96.50,$1.93,1.00%,0.01
61,$98.43,$1.97,1.00%,0.01
62,$100.40,$2.01,1.00%,0.01
63,$102.41,$2.05,1.00%,0.01
64,$104.46,$2.09,1.00%,0.01
65,$106.54,$2.13,1.00%,0.01
66,$108.68,$2.17,1.00%,0.01
67,$110.85,$2.22,1.00%,0.01
68,$113.07,$2.26,1.00%,0.01
69,$115.33,$2.31,1.00%,0.01
70,$117.63,$2.35,1.00%,0.01
71,$119.99,$2.40,1.00%,0.01
72,$122.39,$2.45,1.00%,0.01
73,$124.83,$2.50,1.00%,0.01
74,$127.33,$2.55,1.00%,0.01
75,$129.88,$2.60,1.00%,0.01
76,$132.48,$2.65,1.00%,0.01
77,$135.12,$2.70,1.00%,0.01
78,$137.83,$2.76,1.00%,0.01
79,$140.58,$2.81,1.00%,0.01
80,$143.40,$2.87,1.00%,0.01
81,$146.26,$2.93,1.00%,0.01
82,$149.19,$2.98,1.00%,0.01
83,$152.17,$3.04,1.00%,0.02
84,$155.22,$3.10,1.00%,0.02
85,$158.32,$3.17,1.00%,0.02
86,$161.49,$3.23,1.00%,0.02
87,$164.72,$3.29,1.00%,0.02
88,$168.01,$3.36,1.00%,0.02
89,$171.37,$3.43,1.00%,0.02
90,$174.80,$3.50,1.00%,0.02
91,$178.29,$3.57,1.00%,0.02
92,$181.86,$3.64,1.00%,0.02
93,$185.50,$3.71,1.00%,0.02
94,$189.21,$3.78,1.00%,0.02
95,$192.99,$3.86,1.00%,0.02
96,$196.85,$3.94,1.00%,0.02
97,$200.79,$4.02,1.00%,0.02
98,$204.80,$4.10,1.00%,0.02
99,$208.90,$4.18,1.00%,0.02
100,$213.08,$4.26,1.00%,0.02
101,$217.34,$4.35,1.00%,0.02
102,$221.69,$4.43,1.00%,0.02
103,$226.12,$4.52,1.00%,0.02
104,$230.64,$4.61,1.00%,0.02
105,$235.26,$4.71,1.00%,0.02
106,$239.96,$4.80,1.00%,0.02
107,$244.76,$4.90,1.00%,0.02
108,$249.65,$4.99,1.00%,0.02
109,$254.65,$5.09,1.00%,0.03
110,$259.74,$5.19,1.00%,0.03
111,$264.94,$5.30,1.00%,0.03
112,$270.23,$5.40,1.00%,0.03
113,$275.64,$5.51,1.00%,0.03
114,$281.15,$5.62,1.00%,0.03
115,$286.77,$5.74,1.00%,0.03
116,$292.51,$5.85,1.00%,0.03
117,$298.36,$5.97,1.00%,0.03
118,$304.33,$6.09,1.00%,0.03
119,$310.41,$6.21,1.00%,0.03
120,$316.62,$6.33,1.00%,0.03
121,$322.95,$6.46,1.00%,0.03
122,$329.41,$6.59,1.00%,0.03
123,$336.00,$6.72,1.00%,0.03
124,$342.72,$6.85,1.00%,0.03
125,$349.58,$6.99,1.00%,0.03
126,$356.57,$7.13,1.00%,0.04
127,$363.70,$7.27,1.00%,0.04
128,$370.97,$7.42,1.00%,0.04
129,$378.39,$7.57,1.00%,0.04
130,$385.96,$7.72,1.00%,0.04
131,$393.68,$7.87,1.00%,0.04
132,$401.55,$8.03,1.00%,0.04
133,$409.58,$8.19,1.00%,0.04
134,$417.78,$8.36,1.00%,0.04
135,$426.13,$8.52,1.00%,0.04
136,$434.65,$8.69,1.00%,0.04
137,$443.35,$8.87,1.00%,0.04
138,$452.21,$9.04,1.00%,0.05
139,$461.26,$9.23,1.00%,0.05
140,$470.48,$9.41,1.00%,0.05
141,$479.89,$9.60,1.00%,0.05
142,$489.49,$9.79,1.00%,0.05
143,$499.28,$9.99,1.00%,0.05
144,$509.27,$10.19,1.00%,0.05
145,$519.45,$10.39,1.00%,0.05
146,$529.84,$10.60,1.00%,0.05
147,$540.44,$10.81,1.00%,0.05
148,$551.25,$11.02,1.00%,0.06
149,$562.27,$11.25,1.00%,0.06
150,$573.52,$11.47,1.00%,0.06
151,$584.99,$11.70,1.00%,0.06
152,$596.69,$11.93,1.00%,0.06
153,$608.62,$12.17,1.00%,0.06
154,$620.79,$12.42,1.00%,0.06
155,$633.21,$12.66,1.00%,0.06
156,$645.87,$12.92,1.00%,0.06
157,$658.79,$13.18,1.00%,0.07
158,$671.97,$13.44,1.00%,0.07
159,$685.41,$13.71,1.00%,0.07
160,$699.11,$13.98,1.00%,0.07
161,$713.10,$14.26,1.00%,0.07
162,$727.36,$14.55,1.00%,0.07
163,$741.91,$14.84,1.00%,0.07
164,$756.74,$15.13,1.00%,0.08
165,$771.88,$15.44,1.00%,0.08
166,$787.32,$15.75,1.00%,0.08
167,$803.06,$16.06,1.00%,0.08
168,$819.12,$16.38,1.00%,0.08
169,$835.51,$16.71,1.00%,0.08
170,$852.22,$17.04,1.00%,0.09
171,$869.26,$17.39,1.00%,0.09
172,$886.65,$17.73,1.00%,0.09
173,$904.38,$18.09,1.00%,0.09
174,$922.47,$18.45,1.00%,0.09
175,$940.92,$18.82,1.00%,0.09
176,$959.73,$19.19,1.00%,0.1
177,$978.93,$19.58,1.00%,0.1
178,$998.51,$19.97,1.00%,0.1
179,$1018.48,$20.37,1.00%,0.1
180,$1038.85,$20.78,1.00%,0.1
181,$1059.62,$21.19,1.00%,0.11
182,$1080.82,$21.62,1.00%,0.11
183,$1102.43,$22.05,1.00%,0.11
184,$1124.48,$22.49,1.00%,0.11
185,$1146.97,$22.94,1.00%,0.11
186,$1169.91,$23.40,1.00%,0.12
187,$1193.31,$23.87,1.00%,0.12
188,$1217.18,$24.34,1.00%,0.12
189,$1241.52,$24.83,1.00%,0.12
190,$1266.35,$25.33,1.00%,0.13
191,$1291.68,$25.83,1.00%,0.13
192,$1317.51,$26.35,1.00%,0.13
193,$1343.86,$26.88,1.00%,0.13
194,$1370.74,$27.41,1.00%,0.14
195,$1398.15,$27.96,1.00%,0.14
196,$1426.12,$28.52,1.00%,0.14
197,$1454.64,$29.09,1.00%,0.15
198,$1483.73,$29.67,1.00%,0.15
199,$1513.41,$30.27,1.00%,0.15
200,$1543.67,$30.87,1.00%,0.15
201,$1574.55,$31.49,1.00%,0.16
202,$1606.04,$32.12,1.00%,0.16
203,$1638.16,$32.76,1.00%,0.16
204,$1670.92,$33.42,1.00%,0.17
205,$1704.34,$34.09,1.00%,0.17
206,$1738.43,$34.77,1.00%,0.17
207,$1773.20,$35.46,1.00%,0.18
208,$1808.66,$36.17,1.00%,0.18
209,$1844.83,$36.90,1.00%,0.18
210,$1881.73,$37.63,1.00%,0.19
211,$1919.36,$38.39,1.00%,0.19
212,$1957.75,$39.16,1.00%,0.2
213,$1996.91,$39.94,1.00%,0.2
214,$2036.84,$40.74,1.00%,0.2
215,$2077.58,$41.55,1.00%,0.21
216,$2119.13,$42.38,1.00%,0.21
217,$2161.52,$43.23,1.00%,0.22
218,$2204.75,$44.09,1.00%,0.22
219,$2248.84,$44.98,1.00%,0.22
220,$2293.82,$45.88,1.00%,0.23
221,$2339.69,$46.79,1.00%,0.23
222,$2386.49,$47.73,1.00%,0.24
223,$2434.22,$48.68,1.00%,0.24
224,$2482.90,$49.66,1.00%,0.25
225,$2532.56,$50.65,1.00%,0.25
226,$2583.21,$51.66,1.00%,0.26
227,$2634.88,$52.70,1.00%,0.26
228,$2687.57,$53.75,1.00%,0.27
229,$2741.32,$54.83,1.00%,0.27
230,$2796.15,$55.92,1.00%,0.28
231,$2852.07,$57.04,1.00%,0.29
232,$2909.12,$58.18,1.00%,0.29
233,$2967.30,$59.35,1.00%,0.3
234,$3026.64,$60.53,1.00%,0.3
235,$3087.18,$61.74,1.00%,0.31
236,$3148.92,$62.98,1.00%,0.31
237,$3211.90,$64.24,1.00%,0.32
238,$3276.14,$65.52,1.00%,0.33
239,$3341.66,$66.83,1.00%,0.33
240,$3408.49,$68.17,1.00%,0.34
241,$3476.66,$69.53,1.00%,0.35
242,$3546.20,$70.92,1.00%,0.35
243,$3617.12,$72.34,1.00%,0.36
244,$3689.46,$73.79,1.00%,0.37
245,$3763.25,$75.27,1.00%,0.38
246,$3838.52,$76.77,1.00%,0.38
247,$3915.29,$78.31,1.00%,0.39
248,$3993.59,$79.87,1.00%,0.4
249,$4073.46,$81.47,1.00%,0.41
250,$4154.93,$83.10,1.00%,0.42
251,$4238.03,$84.76,1.00%,0.42
252,$4322.79,$86.46,1.00%,0.43
253,$4409.25,$88.18,1.00%,0.44
254,$4497.43,$89.95,1.00%,0.45
255,$4587.38,$91.75,1.00%,0.46
256,$4679.13,$93.58,1.00%,0.47
257,$4772.71,$95.45,1.00%,0.48
258,$4868.17,$97.36,1.00%,0.49
259,$4965.53,$99.31,1.00%,0.5
260,$5064.84,$101.30,1.00%,0.51
261,$5166.14,$103.32,1.00%,0.52
262,$5269.46,$105.39,1.00%,0.53
263,$5374.85,$107.50,1.00%,0.54
264,$5482.35,$109.65,1.00%,0.55
265,$5591.99,$111.84,1.00%,0.56
266,$5703.83,$114.08,1.00%,0.57
267,$5817.91,$116.36,1.00%,0.58
268,$5934.27,$118.69,1.00%,0.59
269,$6052.95,$121.06,1.00%,0.61
270,$6174.01,$123.48,1.00%,0.62
271,$6297.49,$125.95,1.00%,0.63
272,$6423.44,$128.47,1.00%,0.64
273,$6551.91,$131.04,1.00%,0.66
274,$6682.95,$133.66,1.00%,0.67
275,$6816.61,$136.33,1.00%,0.68
276,$6952.94,$139.06,1.00%,0.7
277,$7092.00,$141.84,1.00%,0.71
278,$7233.84,$144.68,1.00%,0.72
279,$7378.52,$147.57,1.00%,0.74
280,$7526.09,$150.52,1.00%,0.75
281,$7676.61,$153.53,1.00%,0.77
282,$7830.14,$156.60,1.00%,0.78
283,$7986.74,$159.73,1.00%,0.8
284,$8146.48,$162.93,1.00%,0.81
285,$8309.41,$166.19,1.00%,0.83
286,$8475.60,$169.51,1.00%,0.85
287,$8645.11,$172.90,1.00%,0.86
288,$8818.01,$176.36,1.00%,0.88
289,$8994.37,$179.89,1.00%,0.9
290,$9174.26,$183.49,1.00%,0.92
291,$9357.74,$187.15,1.00%,0.94
292,$9544.90,$190.90,1.00%,0.95
293,$9735.79,$194.72,1.00%,0.97
294,$9930.51,$198.61,1.00%,0.99
295,$10129.12,$202.58,1.00%,1.01
296,$10331.70,$206.63,1.00%,1.03
297,$10538.34,$210.77,1.00%,1.05
298,$10749.10,$214.98,1.00%,1.07
299,$10964.09,$219.28,1.00%,1.1
300,$11183.37,$223.67,1.00%,1.12
301,$11407.04,$228.14,1.00%,1.14
302,$11635.18,$232.70,1.00%,1.16
303,$11867.88,$237.36,1.00%,1.19
304,$12105.24,$242.10,1.00%,1.21
305,$12347.34,$246.95,1.00%,1.23
306,$12594.29,$251.89,1.00%,1.26
307,$12846.17,$256.92,1.00%,1.28
308,$13103.10,$262.06,1.00%,1.31
309,$13365.16,$267.30,1.00%,1.34
310,$13632.46,$272.65,1.00%,1.36
311,$13905.11,$278.10,1.00%,1.39
312,$14183.21,$283.66,1.00%,1.42
313,$14466.88,$289.34,1.00%,1.45
314,$14756.22,$295.12,1.00%,1.48
315,$15051.34,$301.03,1.00%,1.51
316,$15352.37,$307.05,1.00%,1.54
317,$15659.41,$313.19,1.00%,1.57
318,$15972.60,$319.45,1.00%,1.6
319,$16292.06,$325.84,1.00%,1.63
320,$16617.90,$332.36,1.00%,1.66
321,$16950.25,$339.01,1.00%,1.7
322,$17289.26,$345.79,1.00%,1.73
323,$17635.04,$352.70,1.00%,1.76
324,$17987.75,$359.75,1.00%,1.8
325,$18347.50,$366.95,1.00%,1.83
326,$18714.45,$374.29,1.00%,1.87
327,$19088.74,$381.77,1.00%,1.91
328,$19470.51,$389.41,1.00%,1.95
329,$19859.92,$397.20,1.00%,1.99
