Trade #,Balance,Profit,Risk %,Lot Size
199,$1008.94,$20.18,1.00%,0.01
200,$1029.12,$20.58,1.00%,0.01
201,$1049.70,$20.99,1.00%,0.01
202,$1070.69,$21.41,1.00%,0.01
203,$1092.11,$21.84,1.00%,0.01
204,$1113.95,$22.28,1.00%,0.01
205,$1136.23,$22.72,1.00%,0.01
206,$1158.95,$23.18,1.00%,0.01
207,$1182.13,$23.64,1.00%,0.01
208,$1205.77,$24.12,1.00%,0.01
209,$1229.89,$24.60,1.00%,0.01
210,$1254.49,$25.09,1.00%,0.01
211,$1279.58,$25.59,1.00%,0.01
212,$1305.17,$26.10,1.00%,0.01
213,$1331.27,$26.63,1.00%,0.01
214,$1357.90,$27.16,1.00%,0.01
215,$1385.05,$27.70,1.00%,0.01
216,$1412.76,$28.26,1.00%,0.01
217,$1441.01,$28.82,1.00%,0.01
218,$1469.83,$29.40,1.00%,0.01
219,$1499.23,$29.98,1.00%,0.01
220,$1529.21,$30.58,1.00%,0.02
221,$1559.80,$31.20,1.00%,0.02
222,$1590.99,$31.82,1.00%,0.02
223,$1622.81,$32.46,1.00%,0.02
224,$1655.27,$33.11,1.00%,0.02
225,$1688.37,$33.77,1.00%,0.02
226,$1722.14,$34.44,1.00%,0.02
227,$1756.58,$35.13,1.00%,0.02
228,$1791.72,$35.83,1.00%,0.02
229,$1827.55,$36.55,1.00%,0.02
230,$1864.10,$37.28,1.00%,0.02
231,$1901.38,$38.03,1.00%,0.02
232,$1939.41,$38.79,1.00%,0.02
233,$1978.20,$39.56,1.00%,0.02
234,$2017.76,$40.36,1.00%,0.02
235,$2058.12,$41.16,1.00%,0.02
236,$2099.28,$41.99,1.00%,0.02
237,$2141.27,$42.83,1.00%,0.02
238,$2184.09,$43.68,1.00%,0.02
239,$2227.77,$44.56,1.00%,0.02
240,$2272.33,$45.45,1.00%,0.02
241,$2317.77,$46.36,1.00%,0.02
242,$2364.13,$47.28,1.00%,0.02
243,$2411.41,$48.23,1.00%,0.02
244,$2459.64,$49.19,1.00%,0.02
245,$2508.83,$50.18,1.00%,0.03
246,$2559.01,$51.18,1.00%,0.03
247,$2610.19,$52.20,1.00%,0.03
248,$2662.39,$53.25,1.00%,0.03
249,$2715.64,$54.31,1.00%,0.03
250,$2769.96,$55.40,1.00%,0.03
251,$2825.35,$56.51,1.00%,0.03
252,$2881.86,$57.64,1.00%,0.03
253,$2939.50,$58.79,1.00%,0.03
254,$2998.29,$59.97,1.00%,0.03
255,$3058.25,$61.17,1.00%,0.03
256,$3119.42,$62.39,1.00%,0.03
257,$3181.81,$63.64,1.00%,0.03
258,$3245.44,$64.91,1.00%,0.03
259,$3310.35,$66.21,1.00%,0.03
260,$3376.56,$67.53,1.00%,0.03
261,$3444.09,$68.88,1.00%,0.03
262,$3512.97,$70.26,1.00%,0.04
263,$3583.23,$71.66,1.00%,0.04
264,$3654.90,$73.10,1.00%,0.04
265,$3728.00,$74.56,1.00%,0.04
266,$3802.56,$76.05,1.00%,0.04
267,$3878.61,$77.57,1.00%,0.04
268,$3956.18,$79.12,1.00%,0.04
269,$4035.30,$80.71,1.00%,0.04
270,$4116.01,$82.32,1.00%,0.04
271,$4198.33,$83.97,1.00%,0.04
272,$4282.29,$85.65,1.00%,0.04
273,$4367.94,$87.36,1.00%,0.04
274,$4455.30,$89.11,1.00%,0.04
275,$4544.41,$90.89,1.00%,0.05
276,$4635.29,$92.71,1.00%,0.05
277,$4728.00,$94.56,1.00%,0.05
278,$4822.56,$96.45,1.00%,0.05
279,$4919.01,$98.38,1.00%,0.05
280,$5017.39,$100.35,1.00%,0.05
281,$5117.74,$102.35,1.00%,0.05
282,$5220.09,$104.40,1.00%,0.05
283,$5324.50,$106.49,1.00%,0.05
284,$5430.99,$108.62,1.00%,0.05
285,$5539.60,$110.79,1.00%,0.06
286,$5650.40,$113.01,1.00%,0.06
287,$5763.40,$115.27,1.00%,0.06
288,$5878.67,$117.57,1.00%,0.06
289,$5996.25,$119.92,1.00%,0.06
290,$6116.17,$122.32,1.00%,0.06
291,$6238.49,$124.77,1.00%,0.06
292,$6363.26,$127.27,1.00%,0.06
293,$6490.53,$129.81,1.00%,0.06
294,$6620.34,$132.41,1.00%,0.07
295,$6752.75,$135.05,1.00%,0.07
296,$6887.80,$137.76,1.00%,0.07
297,$7025.56,$140.51,1.00%,0.07
298,$7166.07,$143.32,1.00%,0.07
299,$7309.39,$146.19,1.00%,0.07
300,$7455.58,$149.11,1.00%,0.07
301,$7604.69,$152.09,1.00%,0.08
302,$7756.78,$155.14,1.00%,0.08
303,$7911.92,$158.24,1.00%,0.08
304,$8070.16,$161.40,1.00%,0.08
305,$8231.56,$164.63,1.00%,0.08
306,$8396.19,$167.92,1.00%,0.08
307,$8564.12,$171.28,1.00%,0.09
308,$8735.40,$174.71,1.00%,0.09
309,$8910.11,$178.20,1.00%,0.09
310,$9088.31,$181.77,1.00%,0.09
311,$9270.07,$185.40,1.00%,0.09
312,$9455.48,$189.11,1.00%,0.09
313,$9644.59,$192.89,1.00%,0.1
314,$9837.48,$196.75,1.00%,0.1
315,$10034.23,$200.68,1.00%,0.1
316,$10234.91,$204.70,1.00%,0.1
317,$10439.61,$208.79,1.00%,0.1
318,$10648.40,$212.97,1.00%,0.11
319,$10861.37,$217.23,1.00%,0.11
320,$11078.60,$221.57,1.00%,0.11
321,$11300.17,$226.00,1.00%,0.11
322,$11526.17,$230.52,1.00%,0.12
323,$11756.70,$235.13,1.00%,0.12
324,$11991.83,$239.84,1.00%,0.12
325,$12231.67,$244.63,1.00%,0.12
326,$12476.30,$249.53,1.00%,0.12
327,$12725.83,$254.52,1.00%,0.13
328,$12980.34,$259.61,1.00%,0.13
329,$13239.95,$264.80,1.00%,0.13
330,$13504.75,$270.09,1.00%,0.14
331,$13774.84,$275.50,1.00%,0.14
332,$14050.34,$281.01,1.00%,0.14
333,$14331.35,$286.63,1.00%,0.14
334,$14617.97,$292.36,1.00%,0.15
335,$14910.33,$298.21,1.00%,0.15
336,$15208.54,$304.17,1.00%,0.15
337,$15512.71,$310.25,1.00%,0.16
338,$15822.97,$316.46,1.00%,0.16
339,$16139.42,$322.79,1.00%,0.16
340,$16462.21,$329.24,1.00%,0.16
341,$16791.46,$335.83,1.00%,0.17
342,$17127.29,$342.55,1.00%,0.17
343,$17469.83,$349.40,1.00%,0.17
344,$17819.23,$356.38,1.00%,0.18
345,$18175.61,$363.51,1.00%,0.18
346,$18539.13,$370.78,1.00%,0.19
347,$18909.91,$378.20,1.00%,0.19
348,$19288.11,$385.76,1.00%,0.19
349,$19673.87,$393.48,1.00%,0.2
